Month,Actual,Predicted,Error
1958-10-01,359,380.16,-21.16
1958-11-01,310,344.31,-34.31
1958-12-01,337,354.62,-17.62
1959-01-01,360,367.54,-7.54
1959-02-01,342,348.36,-6.36
1959-03-01,406,383.22,22.78
1959-04-01,396,394.49,1.51
1959-05-01,420,397.03,22.97
1959-06-01,472,470.05,1.95
1959-07-01,548,528.77,19.23
1959-08-01,559,557.83,1.17
1959-09-01,463,464.94,-1.94
1959-10-01,407,402.08,4.92
1959-11-01,362,355.95,6.05
1959-12-01,405,366.31,38.69
1960-01-01,417,398.37,18.63
1960-02-01,391,377.8,13.2
1960-03-01,419,429.8,-10.8
1960-04-01,461,435.03,25.97
1960-05-01,472,464.14,7.86
1960-06-01,535,506.95,28.05
1960-07-01,622,591.09,30.91
1960-08-01,606,618.8,-12.8
1960-09-01,508,522.98,-14.98
1960-10-01,461,452.4,8.6
1960-11-01,390,411.41,-21.41
1960-12-01,432,426.55,5.45
