Month,Passengers,Month_Number,Year,Lag1,Lag2,Lag3
1949-04-01,129,4,1949,132.0,118.0,112.0
1949-05-01,121,5,1949,129.0,132.0,118.0
1949-06-01,135,6,1949,121.0,129.0,132.0
1949-07-01,148,7,1949,135.0,121.0,129.0
1949-08-01,148,8,1949,148.0,135.0,121.0
1949-09-01,136,9,1949,148.0,148.0,135.0
1949-10-01,119,10,1949,136.0,148.0,148.0
1949-11-01,104,11,1949,119.0,136.0,148.0
1949-12-01,118,12,1949,104.0,119.0,136.0
1950-01-01,115,1,1950,118.0,104.0,119.0
1950-02-01,126,2,1950,115.0,118.0,104.0
1950-03-01,141,3,1950,126.0,115.0,118.0
1950-04-01,135,4,1950,141.0,126.0,115.0
1950-05-01,125,5,1950,135.0,141.0,126.0
1950-06-01,149,6,1950,125.0,135.0,141.0
1950-07-01,170,7,1950,149.0,125.0,135.0
1950-08-01,170,8,1950,170.0,149.0,125.0
1950-09-01,158,9,1950,170.0,170.0,149.0
1950-10-01,133,10,1950,158.0,170.0,170.0
1950-11-01,114,11,1950,133.0,158.0,170.0
1950-12-01,140,12,1950,114.0,133.0,158.0
1951-01-01,145,1,1951,140.0,114.0,133.0
1951-02-01,150,2,1951,145.0,140.0,114.0
1951-03-01,178,3,1951,150.0,145.0,140.0
1951-04-01,163,4,1951,178.0,150.0,145.0
1951-05-01,172,5,1951,163.0,178.0,150.0
1951-06-01,178,6,1951,172.0,163.0,178.0
1951-07-01,199,7,1951,178.0,172.0,163.0
1951-08-01,199,8,1951,199.0,178.0,172.0
1951-09-01,184,9,1951,199.0,199.0,178.0
1951-10-01,162,10,1951,184.0,199.0,199.0
1951-11-01,146,11,1951,162.0,184.0,199.0
1951-12-01,166,12,1951,146.0,162.0,184.0
1952-01-01,171,1,1952,166.0,146.0,162.0
1952-02-01,180,2,1952,171.0,166.0,146.0
1952-03-01,193,3,1952,180.0,171.0,166.0
1952-04-01,181,4,1952,193.0,180.0,171.0
1952-05-01,183,5,1952,181.0,193.0,180.0
1952-06-01,218,6,1952,183.0,181.0,193.0
1952-07-01,230,7,1952,218.0,183.0,181.0
1952-08-01,242,8,1952,230.0,218.0,183.0
1952-09-01,209,9,1952,242.0,230.0,218.0
1952-10-01,191,10,1952,209.0,242.0,230.0
1952-11-01,172,11,1952,191.0,209.0,242.0
1952-12-01,194,12,1952,172.0,191.0,209.0
1953-01-01,196,1,1953,194.0,172.0,191.0
1953-02-01,196,2,1953,196.0,194.0,172.0
1953-03-01,236,3,1953,196.0,196.0,194.0
1953-04-01,235,4,1953,236.0,196.0,196.0
1953-05-01,229,5,1953,235.0,236.0,196.0
1953-06-01,243,6,1953,229.0,235.0,236.0
1953-07-01,264,7,1953,243.0,229.0,235.0
1953-08-01,272,8,1953,264.0,243.0,229.0
1953-09-01,237,9,1953,272.0,264.0,243.0
1953-10-01,211,10,1953,237.0,272.0,264.0
1953-11-01,180,11,1953,211.0,237.0,272.0
1953-12-01,201,12,1953,180.0,211.0,237.0
1954-01-01,204,1,1954,201.0,180.0,211.0
1954-02-01,188,2,1954,204.0,201.0,180.0
1954-03-01,235,3,1954,188.0,204.0,201.0
1954-04-01,227,4,1954,235.0,188.0,204.0
1954-05-01,234,5,1954,227.0,235.0,188.0
1954-06-01,264,6,1954,234.0,227.0,235.0
1954-07-01,302,7,1954,264.0,234.0,227.0
1954-08-01,293,8,1954,302.0,264.0,234.0
1954-09-01,259,9,1954,293.0,302.0,264.0
1954-10-01,229,10,1954,259.0,293.0,302.0
1954-11-01,203,11,1954,229.0,259.0,293.0
1954-12-01,229,12,1954,203.0,229.0,259.0
1955-01-01,242,1,1955,229.0,203.0,229.0
1955-02-01,233,2,1955,242.0,229.0,203.0
1955-03-01,267,3,1955,233.0,242.0,229.0
1955-04-01,269,4,1955,267.0,233.0,242.0
1955-05-01,270,5,1955,269.0,267.0,233.0
1955-06-01,315,6,1955,270.0,269.0,267.0
1955-07-01,364,7,1955,315.0,270.0,269.0
1955-08-01,347,8,1955,364.0,315.0,270.0
1955-09-01,312,9,1955,347.0,364.0,315.0
1955-10-01,274,10,1955,312.0,347.0,364.0
1955-11-01,237,11,1955,274.0,312.0,347.0
1955-12-01,278,12,1955,237.0,274.0,312.0
1956-01-01,284,1,1956,278.0,237.0,274.0
1956-02-01,277,2,1956,284.0,278.0,237.0
1956-03-01,317,3,1956,277.0,284.0,278.0
1956-04-01,313,4,1956,317.0,277.0,284.0
1956-05-01,318,5,1956,313.0,317.0,277.0
1956-06-01,374,6,1956,318.0,313.0,317.0
1956-07-01,413,7,1956,374.0,318.0,313.0
1956-08-01,405,8,1956,413.0,374.0,318.0
1956-09-01,355,9,1956,405.0,413.0,374.0
1956-10-01,306,10,1956,355.0,405.0,413.0
1956-11-01,271,11,1956,306.0,355.0,405.0
1956-12-01,306,12,1956,271.0,306.0,355.0
1957-01-01,315,1,1957,306.0,271.0,306.0
1957-02-01,301,2,1957,315.0,306.0,271.0
1957-03-01,356,3,1957,301.0,315.0,306.0
1957-04-01,348,4,1957,356.0,301.0,315.0
1957-05-01,355,5,1957,348.0,356.0,301.0
1957-06-01,422,6,1957,355.0,348.0,356.0
1957-07-01,465,7,1957,422.0,355.0,348.0
1957-08-01,467,8,1957,465.0,422.0,355.0
1957-09-01,404,9,1957,467.0,465.0,422.0
1957-10-01,347,10,1957,404.0,467.0,465.0
1957-11-01,305,11,1957,347.0,404.0,467.0
1957-12-01,336,12,1957,305.0,347.0,404.0
1958-01-01,340,1,1958,336.0,305.0,347.0
1958-02-01,318,2,1958,340.0,336.0,305.0
1958-03-01,362,3,1958,318.0,340.0,336.0
1958-04-01,348,4,1958,362.0,318.0,340.0
1958-05-01,363,5,1958,348.0,362.0,318.0
1958-06-01,435,6,1958,363.0,348.0,362.0
1958-07-01,491,7,1958,435.0,363.0,348.0
1958-08-01,505,8,1958,491.0,435.0,363.0
1958-09-01,404,9,1958,505.0,491.0,435.0
1958-10-01,359,10,1958,404.0,505.0,491.0
1958-11-01,310,11,1958,359.0,404.0,505.0
1958-12-01,337,12,1958,310.0,359.0,404.0
1959-01-01,360,1,1959,337.0,310.0,359.0
1959-02-01,342,2,1959,360.0,337.0,310.0
1959-03-01,406,3,1959,342.0,360.0,337.0
1959-04-01,396,4,1959,406.0,342.0,360.0
1959-05-01,420,5,1959,396.0,406.0,342.0
1959-06-01,472,6,1959,420.0,396.0,406.0
